M2,DOLARES,AMBIENTES,ANTIGUEDAD,BAÑOS,BARRIO,LATITUD,LONGITUD
57,170150,2,0,1,PALERMO,-34.58058058659289,-58.43175840345534
46,118650,0,0,1,BELGRANO,-34.57386978873141,-58.44060879597446
61,181470,2,0,1,BELGRANO,-34.57386978873141,-58.44060879597446
140,320000,2,0,1,BELGRANO,-34.57386978873141,-58.44060879597446
39,82116,0,0,1,VILLA CRESPO,-34.59298420737023,-58.44154182132553
39,81921,0,0,1,VILLA CRESPO,-34.59298420737023,-58.44154182132553
50,103802,2,0,1,VILLA CRESPO,-34.59298420737023,-58.44154182132553
82,265000,2,0,2,BELGRANO,,
38,145000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
38,147000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
38,147000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
38,120000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
38,149000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
38,145000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
38,100000,0,0,1,SAAVEDRA,-34.5540282471482,-58.49063130181092
40,102000,0,0,1,SAAVEDRA,-34.5540282471482,-58.49063130181092
48,143000,0,0,1,BELGRANO,,
47,144000,0,0,1,BELGRANO,,
47,151000,0,0,1,BELGRANO,,
47,152000,0,0,1,BELGRANO,,
103,234000,3,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
56,160000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
91,265000,4,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
91,269000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
73,211000,3,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
45,135000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
54,161000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
73,215000,3,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
44,141000,0,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
58,180000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
58,184000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
54,176000,2,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
64,191000,0,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
40,94000,0,0,2,ALMAGRO,-34.62103943760427,-58.41627466660862
44,103000,0,0,2,ALMAGRO,,
46,115000,0,0,2,ALMAGRO,,
44,104000,0,0,2,ALMAGRO,,
40,94000,0,0,2,ALMAGRO,,
78,235000,3,0,2,VILLA URQUIZA,-34.5705867194326,-58.479838387397
50,151000,2,0,2,VILLA URQUIZA,-34.5705867194326,-58.479838387397
88,238000,3,0,2,VILLA URQUIZA,-34.5705867194326,-58.479838387397
69,210000,2,0,2,VILLA URQUIZA,-34.5705867194326,-58.479838387397
137,260000,4,0,2,VILLA URQUIZA,-34.5705867194326,-58.479838387397
132,262000,4,0,2,VILLA URQUIZA,-34.5705867194326,-58.479838387397
47,130000,0,0,1,BELGRANO,,
47,157000,0,0,1,BELGRANO,,
47,152000,2,0,1,BELGRANO,,
34,110000,0,0,0,SAAVEDRA,-34.5546808499984,-58.48533874153616
39,133000,0,0,1,NUÑEZ,-34.54686564868027,-58.47001701268663
40,137000,0,0,1,NUÑEZ,-34.54686564868027,-58.47001701268663
58,168000,0,0,1,NUÑEZ,-34.54686564868027,-58.47001701268663
38,120000,0,0,1,PALERMO,-34.58756551856219,-58.41805324063449
81,225000,3,4,1,COLEGIALES,-34.58107805186619,-58.44943304176618
69,140000,3,20,0,CABALLITO,-34.62312877177625,-58.43933750841767
75,154000,3,20,1,ALMAGRO,-34.60497192655782,-58.42127794148996
45,105000,2,0,1,BALVANERA,-34.59977812923113,-58.39570781775682
35,76000,2,0,1,BALVANERA,-34.61778650624696,-58.38290098032361
35,82000,2,0,1,BALVANERA,-34.61778650624696,-58.38290098032361
44,119000,2,2,1,PALERMO,,
115,781200,2,0,1,PUERTO MADERO,,
183,1229550,4,0,3,PUERTO MADERO,,
253,1622250,5,0,3,PUERTO MADERO,,
115,760200,2,0,1,PUERTO MADERO,,
183,1267350,4,0,3,PUERTO MADERO,,
253,1806500,5,0,3,PUERTO MADERO,,
36,62300,0,0,1,ALMAGRO,-34.61726982372415,-58.4154102711989
58,135000,2,0,1,PALERMO,-34.59149667351424,-58.43020398112709
69,165000,3,0,1,RETIRO,-34.59638540775005,-58.37832891245003
96,140000,4,0,1,MONSERRAT,-34.62128351054625,-58.38709875294669
42,75000,2,40,1,BALVANERA,-34.60472519089258,-58.39952354016936
71,164000,4,0,1,CABALLITO,-34.62702591108994,-58.44424101182289
90,149900,3,1,1,VILLA DEVOTO,-34.62339003697026,-58.5044012948366
45,105000,2,0,1,BELGRANO,-34.56822497233455,-58.44639360394932
55,112000,2,0,1,FLORES,-34.63229971663284,-58.46124272513609
56,106400,2,0,1,SAN CRISTOBAL,-34.61972285737895,-58.39981216958722
49,84900,2,0,1,VILLA DEVOTO,-34.62339003697026,-58.5044012948366
38,79000,2,40,1,NUÑEZ,,
49,131000,2,0,1,PALERMO,-34.5853677191924,-58.44143193465946
120,630000,3,2,2,PALERMO,-34.57777424491495,-58.42429999128044
35,92000,0,5,1,NUÑEZ,-34.54891105005458,-58.46987165936478
63,164000,3,5,1,NUÑEZ,,
38,90000,0,0,1,ALMAGRO,-34.60736209045653,-58.42772811331714
38,90000,0,0,1,ALMAGRO,-34.60736209045653,-58.42772811331714
38,90000,0,0,1,VILLA CRESPO,-34.60736209045653,-58.42772811331714
36,77489,2,0,2,VILLA CRESPO,-34.59599690328701,-58.44045958535538
66,192600,3,0,2,VILLA CRESPO,-34.59599690328701,-58.44045958535538
90,290323,4,0,3,VILLA CRESPO,-34.59599690328701,-58.44045958535538
137,479156,5,0,3,VILLA CRESPO,-34.59599690328701,-58.44045958535538
54,141000,2,0,2,VILLA CRESPO,-34.59599690328701,-58.44045958535538
71,149000,3,0,0,MONTE CASTRO,-34.62124598716484,-58.50625597324942
36,80000,2,0,1,MONTE CASTRO,-34.62124598716484,-58.50625597324942
47,98000,2,0,1,MONTE CASTRO,-34.62124598716484,-58.50625597324942
71,138000,3,0,2,MONTE CASTRO,-34.62124598716484,-58.50625597324942
140,650000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
140,680000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
140,650000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
80,185000,2,0,1,VILLA URQUIZA,-34.57423456211234,-58.47255270112147
80,185000,2,0,1,COGHLAN,-34.57423456211234,-58.47255270112147
82,135000,3,70,2,PARQUE PATRICIOS,-34.6370834763779,-58.40502917803138
180,570000,4,0,2,RECOLETA,,
38,110000,0,8,1,BELGRANO,-34.58096952689696,-58.44052800754586
219,830000,4,40,2,RECOLETA,,
190,170000,2,0,1,PALERMO,-34.58611619373432,-58.42001556406171
17,45000,2,40,1,RECOLETA,-34.58707697480098,-58.40106919297761
93,135000,3,50,1,BALVANERA,,
45,145000,2,10,1,RECOLETA,-34.5924523164623,-58.40185414991864
26,75000,0,4,1,RECOLETA,-34.59599442739979,-58.40897358197618
47,133000,2,0,1,NUÑEZ,,
31,70000,2,20,0,VILLA URQUIZA,-34.57131337528963,-58.47705117918353
25,54000,0,20,1,RETIRO,-34.59774646089875,-58.37972725771631
158,248000,5,28,3,FLORES,-34.62648163193695,-58.47163445361577
39,128000,2,60,1,RECOLETA,-34.59405255490763,-58.39220236509163
83,480000,3,0,2,RECOLETA,-34.58849061422616,-58.38799679559654
140,650000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
140,680000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
140,650000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
34,68000,2,35,1,VILLA SANTA RITA,-34.611534497095,-58.48678581618525
185,610000,4,20,4,PALERMO,-34.5629790287257,-58.4395440793182
254,479500,4,0,2,VILLA DEVOTO,-34.59630179963779,-58.50537205679854
54,120000,3,0,1,BOEDO,-34.61376933058708,-58.41724147916558
68,135000,4,0,2,CHACARITA,-34.58989997243614,-58.44950371134389
62,174000,2,5,2,PALERMO,-34.57627634445608,-58.43515307934823
85,204000,3,0,2,NUÑEZ,-34.54184558631425,-58.47681252711568
52,175000,2,13,2,RECOLETA,-34.59442479727465,-58.39812849243356
90,230000,4,50,1,CABALLITO,-34.6252826680319,-58.44786764123509
200,850000,6,50,3,RECOLETA,,
45,95000,2,5,1,VILLA URQUIZA,,
34,109000,0,5,1,BELGRANO,-34.56488747657721,-58.46132333830182
85,145000,4,20,1,CABALLITO,,
180,460000,4,20,3,RECOLETA,,
140,650000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
140,680000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
140,650000,4,0,2,BELGRANO,-34.55249311035332,-58.4567017481535
35,109000,2,7,1,RECOLETA,-34.60082999901681,-58.39254778303378
35,107000,2,7,1,SAN NICOLAS,-34.60082999901681,-58.39254778303378
35,107000,2,7,1,BALVANERA,-34.60082999901681,-58.39254778303378
298,1400000,4,40,4,PALERMO,-34.57613292131651,-58.40611160432873
42,144000,2,10,1,BELGRANO,-34.55510107618065,-58.4610946713771
33,79800,0,20,1,SAAVEDRA,-34.53730822008631,-58.46744824989653
33,87000,0,5,1,VILLA URQUIZA,-34.58707925417768,-58.47682726461478
25,82000,2,1,1,,,
140,475000,4,20,3,RECOLETA,-34.58888054630938,-58.38489718697717
55,7428,3,20,1,RECOLETA,-34.59254274178731,-58.4079912221988
47,80000,3,10,1,VERSALLES,-34.62579900311827,-58.52747608345872
47,80000,2,10,1,VERSALLES,-34.62579900311827,-58.52747608345872
78,220000,3,5,2,ALMAGRO,-34.6016414763882,-58.43012142143994
35,72000,2,20,1,ALMAGRO,-34.60002863919954,-58.4199688872415
67,185000,3,0,2,PALERMO,-34.59414448007016,-58.41626402858117
130,350000,2,0,2,PALERMO,,
136,378000,5,50,2,RETIRO,,
43,124000,2,10,1,NUÑEZ,,
140,353000,4,10,2,BELGRANO,-34.56368291489641,-58.4426824005453
64,119000,3,20,1,PARQUE CHACABUCO,,
75,165000,3,20,2,RECOLETA,-34.59728079893657,-58.40509830271861
170,980000,4,5,2,PALERMO,-34.58246980604317,-58.43272259735087
36,75000,0,2,1,CHACARITA,-34.58488797858849,-58.44688509656585
32,65142,2,0,1,BALVANERA,-34.61778650624696,-58.38290098032361
36,75000,0,2,1,COLEGIALES,-34.58488797858849,-58.44688509656585
68,174000,3,20,1,BELGRANO,-34.56179942623591,-58.44421188732735
59,150000,4,25,1,SAAVEDRA,-34.55790671645079,-58.48461268920599
65,148000,3,50,1,PALERMO,,
38,110000,0,5,1,PALERMO,-34.58096952689696,-58.44052800754586
42,95000,2,40,1,CABALLITO,-34.59815863089777,-58.44658647612657
39,104000,2,0,1,PALERMO,-34.5925347243559,-58.41428127129698
50,150000,3,35,0,PALERMO,-34.59090338250458,-58.41909985504197
57,175000,3,45,1,BELGRANO,-34.56677457722883,-58.45968656391587
64,163000,3,10,1,NUÑEZ,,
